case,config,test_sequence,model,runs,ate_before_m,ate_after_m,ate_after_seed_sd_m,improvement_pct,improvement_seed_sd_pct,r2_mean,n_test
EuRoC_transfer,motion,V103,CfC_fixed,3,1.2204016578624333,1.2187836136200134,0.00031795345233880313,0.132582927267888,0.026053180958119607,-0.021152269127803065,1442
EuRoC_transfer,motion,V103,CfC_fixed_head,3,1.2204016578624333,1.2189155221427435,0.0005602873011980448,0.1217743117698548,0.04591007375222995,-0.021373465276782227,1442
EuRoC_transfer,motion,V103,CfC_time,3,1.2204016578624333,1.218783613812776,0.00031795296358636574,0.13258291147289678,0.026053140909628323,-0.021152269450599597,1442
EuRoC_transfer,motion,V103,CfC_time_head,3,1.2204016578624333,1.2189155222120724,0.0005602875180272801,0.12177430608902122,0.045910091519265124,-0.021373465393135966,1442
EuRoC_transfer,motion,V103,GRU,3,1.2204016578624333,1.2189380655005813,0.0005227954491210096,0.11992710370580066,0.04283798254065492,-0.02141121750021961,1442
EuRoC_transfer,motion,V103,MLP,3,1.2204016578624333,1.221679721290063,0.0015630541565076225,-0.10472481902951507,0.12807702664426643,-0.026012625872684787,1442
EuRoC_transfer,motion,V103,Mean,1,1.2204016578624333,1.2191387897291854,0.0,0.10347971302003822,0.0,-0.021747451654977157,1442
EuRoC_transfer,motion,V103,Oracle_previous_GT,1,1.2204016578624333,0.8238308198178493,0.0,32.49510810557145,0.0,0.5334337353527352,1442
EuRoC_transfer,motion,V103,Ridge,1,1.2204016578624333,1.200402536197398,0.0,1.6387327513192829,0.0,0.009416538805455787,1442
EuRoC_transfer,motion,V103,Zero,1,1.2204016578624333,1.2204016578624333,0.0,0.0,0.0,-0.023865341145428598,1442
EuRoC_transfer,rich,V103,CfC_fixed,3,1.2204016578624333,1.218988251953282,0.00021522060861397643,0.11581481392174409,0.017635227486574097,-0.02149517079960524,1442
EuRoC_transfer,rich,V103,CfC_fixed_head,3,1.2204016578624333,1.2190542946201333,0.00031415587557617693,0.11040326220630448,0.025742006621529322,-0.02160589548104445,1442
EuRoC_transfer,rich,V103,CfC_time,3,1.2204016578624333,1.2189882523964573,0.00021521959544514772,0.11581477760785885,0.017635144467283807,-0.021495171542054603,1442
EuRoC_transfer,rich,V103,CfC_time_head,3,1.2204016578624333,1.2190542947071477,0.00031415577783048003,0.11040325507633748,0.025741998612222667,-0.021605895626843674,1442
EuRoC_transfer,rich,V103,GRU,3,1.2204016578624333,1.2187764679942799,0.00076559908196782,0.1331684415276794,0.06273336954562808,-0.0211406287452669,1442
EuRoC_transfer,rich,V103,MLP,3,1.2204016578624333,1.2222452774412569,0.0023884445577067935,-0.15106662359446466,0.19570971100532167,-0.02696503703454926,1442
EuRoC_transfer,rich,V103,Mean,1,1.2204016578624333,1.2191387897291854,0.0,0.10347971302003822,0.0,-0.021747451654977157,1442
EuRoC_transfer,rich,V103,Oracle_previous_GT,1,1.2204016578624333,0.8238308198178493,0.0,32.49510810557145,0.0,0.5334337353527352,1442
EuRoC_transfer,rich,V103,Ridge,1,1.2204016578624333,1.203824194670311,0.0,1.3583612481449903,0.0,0.0037613209183655627,1442
EuRoC_transfer,rich,V103,Zero,1,1.2204016578624333,1.2204016578624333,0.0,0.0,0.0,-0.023865341145428598,1442
K00i_future1,motion,K00i,CfC_fixed,3,55.59444888440589,60.24325588835859,0.5206812907928096,-8.361998539851852,0.9365706491226001,-0.5262173415086541,247
K00i_future1,motion,K00i,CfC_fixed_head,3,55.59444888440589,59.829996760636334,0.6344057791186938,-7.618652511579263,1.1411315191518072,-0.5054067430378643,247
K00i_future1,motion,K00i,CfC_time,3,55.59444888440589,60.24270008548144,0.5401898869420129,-8.360998794574561,0.9716615557520848,-0.526197884776583,247
K00i_future1,motion,K00i,CfC_time_head,3,55.59444888440589,60.15867084309477,0.9994430390752392,-8.209851973133107,1.79773890942479,-0.522240905103518,247
K00i_future1,motion,K00i,GRU,3,55.59444888440589,62.145514488415735,0.1804040189652949,-11.78366857747087,0.32450005816299676,-0.6240160121795318,247
K00i_future1,motion,K00i,MLP,3,55.59444888440589,59.21556083031718,0.10248804419904481,-6.513441572989499,0.18434942023104464,-0.47448400712823086,247
K00i_future1,motion,K00i,Mean,1,55.59444888440589,59.085943614264565,0.0,-6.280293806164572,0.0,-0.4680316645272784,247
K00i_future1,motion,K00i,Oracle_previous_GT,1,55.59444888440589,0.3080997904186228,0.0,99.4458083556881,0.0,0.9999600837489008,247
K00i_future1,motion,K00i,Ridge,1,55.59444888440589,60.96632306238176,0.0,-9.662608921882242,0.0,-0.5629571726083671,247
K00i_future1,motion,K00i,Zero,1,55.59444888440589,55.59444888440589,0.0,0.0,0.0,-0.2996605325718784,247
K00i_future1,rich,K00i,CfC_fixed,3,55.59444888440589,59.95117693032527,0.4079363845823997,-7.836624219403735,0.7337717933504418,-0.5114110957549044,247
K00i_future1,rich,K00i,CfC_fixed_head,3,55.59444888440589,59.937132462122776,0.41579693412595903,-7.8113618623081456,0.7479108840353825,-0.5107057926022387,247
K00i_future1,rich,K00i,CfC_time,3,55.59444888440589,59.83853777489153,0.5256365784553396,-7.6340155818616156,0.945483926908354,-0.5057834754368364,247
K00i_future1,rich,K00i,CfC_time_head,3,55.59444888440589,60.01780301000341,0.42796363512806307,-7.956467263116021,0.7697956247716374,-0.5147792266800213,247
K00i_future1,rich,K00i,GRU,3,55.59444888440589,59.8910210491278,0.2911258801215507,-7.728419385279831,0.5236599803819808,-0.5083452769145523,247
K00i_future1,rich,K00i,MLP,3,55.59444888440589,58.96389340668488,0.0478621928075522,-6.060757125742655,0.08609167600000685,-0.4619740457865005,247
K00i_future1,rich,K00i,Mean,1,55.59444888440589,59.085943614264565,0.0,-6.280293806164572,0.0,-0.4680316645272784,247
K00i_future1,rich,K00i,Oracle_previous_GT,1,55.59444888440589,0.3080997904186228,0.0,99.4458083556881,0.0,0.9999600837489008,247
K00i_future1,rich,K00i,Ridge,1,55.59444888440589,59.38412148033651,0.0,-6.816638480957415,0.0,-0.482885927180037,247
K00i_future1,rich,K00i,Zero,1,55.59444888440589,55.59444888440589,0.0,0.0,0.0,-0.2996605325718784,247
K00i_future2,motion,K00i,CfC_fixed,3,89.56463948099085,81.70488378081114,1.7549834561005027,8.775512016489332,1.9594601912878573,-0.9239640015753757,248
K00i_future2,motion,K00i,CfC_fixed_head,3,89.56463948099085,82.44559942089624,1.2837514544771267,7.948494072379475,1.4333239791018082,-0.9585777974867641,248
K00i_future2,motion,K00i,CfC_time,3,89.56463948099085,81.68186233139376,1.8148395629916994,8.801215742369102,2.0262902564095966,-0.9229420027202583,248
K00i_future2,motion,K00i,CfC_time_head,3,89.56463948099085,82.51279622386552,1.3206499200319022,7.873468031568419,1.4745215608356224,-0.9617986623390271,248
K00i_future2,motion,K00i,GRU,3,89.56463948099085,84.42494823127917,1.5136989864477992,5.738527257514973,1.6900631713803365,-1.0539117493493126,248
K00i_future2,motion,K00i,MLP,3,89.56463948099085,84.1647104454414,1.3846407309319668,6.02908588349258,1.545968072841785,-1.0411653108671146,248
K00i_future2,motion,K00i,Mean,1,89.56463948099085,84.48992156918192,0.0,5.665983742262471,0.0,-1.056413271241535,248
K00i_future2,motion,K00i,Oracle_previous_GT,1,89.56463948099085,0.7845979740081281,0.0,99.12398690090787,0.0,0.9998226648669383,248
K00i_future2,motion,K00i,Ridge,1,89.56463948099085,156.66524954840028,0.0,-74.91864027616705,0.0,-6.0704317512797985,248
K00i_future2,motion,K00i,Zero,1,89.56463948099085,89.56463948099085,0.0,0.0,0.0,-1.3108606008503823,248
K00i_future2,rich,K00i,CfC_fixed,3,89.56463948099085,84.04323585390627,0.7456317228890317,6.1647137297487165,0.832506809841271,-1.0348870031281423,248
K00i_future2,rich,K00i,CfC_fixed_head,3,89.56463948099085,85.74855118980766,2.123762180464973,4.260708593588558,2.3712060839766114,-1.119436890368494,248
K00i_future2,rich,K00i,CfC_time,3,89.56463948099085,83.28282677091204,1.2905533543639736,7.013719640340935,1.4409183823465035,-0.9985534723488438,248
K00i_future2,rich,K00i,CfC_time_head,3,89.56463948099085,85.77182461658732,2.1094461894734495,4.234723531945339,2.3552221074045114,-1.120569376324974,248
K00i_future2,rich,K00i,GRU,3,89.56463948099085,83.44454577383163,1.6702878481518193,6.833158423484904,1.8648965237071267,-1.0066446333951964,248
K00i_future2,rich,K00i,MLP,3,89.56463948099085,84.31463997607841,1.2261649365201785,5.86168775460398,1.369027937393105,-1.0483228206492619,248
K00i_future2,rich,K00i,Mean,1,89.56463948099085,84.48992156918192,0.0,5.665983742262471,0.0,-1.056413271241535,248
K00i_future2,rich,K00i,Oracle_previous_GT,1,89.56463948099085,0.7845979740081281,0.0,99.12398690090787,0.0,0.9998226648669383,248
K00i_future2,rich,K00i,Ridge,1,89.56463948099085,84.32883896259032,0.0,5.845834414944262,0.0,-1.0485795203645085,248
K00i_future2,rich,K00i,Zero,1,89.56463948099085,89.56463948099085,0.0,0.0,0.0,-1.3108606008503823,248
K00i_future3,motion,K00i,CfC_fixed,3,126.03402445514502,128.46288237442994,1.0944636775769092,-1.9271446181180634,0.8683874710090052,-1.475200827979662,330
K00i_future3,motion,K00i,CfC_fixed_head,3,126.03402445514502,127.14444953614952,1.3951183017417028,-0.8810518316819227,1.1069378350591506,-1.4247707963599552,330
K00i_future3,motion,K00i,CfC_time,3,126.03402445514502,129.02746966697762,0.967600845384873,-2.3751088047640367,0.7677298646678065,-1.4969645641268023,330
K00i_future3,motion,K00i,CfC_time_head,3,126.03402445514502,126.71711507942005,2.2363493159441847,-0.5419890598813093,1.7744012583999405,-1.4089589264337397,330
K00i_future3,motion,K00i,GRU,3,126.03402445514502,128.3801971884291,0.41876107823984243,-1.8615391704159157,0.33226034005514377,-1.4718624070803912,330
K00i_future3,motion,K00i,MLP,3,126.03402445514502,125.34832246291894,0.32121069836730143,0.544061014627136,0.2548603043947246,-1.356478594749379,330
K00i_future3,motion,K00i,Mean,1,126.03402445514502,126.5122072394389,0.0,-0.37940769277271524,0.0,-1.4004267659255922,330
K00i_future3,motion,K00i,Oracle_previous_GT,1,126.03402445514502,0.901566860582076,0.0,99.28466391160671,0.0,0.9998780955747449,330
K00i_future3,motion,K00i,Ridge,1,126.03402445514502,127.07209472381717,0.0,-0.8236428798967799,0.0,-1.4217202496366537,330
K00i_future3,motion,K00i,Zero,1,126.03402445514502,126.03402445514502,0.0,0.0,0.0,-1.3823150990231525,330
K00i_future3,rich,K00i,CfC_fixed,3,126.03402445514502,126.80767640305014,2.8554386362384454,-0.61384372295471,2.2656093452404877,-1.4128750878707903,330
K00i_future3,rich,K00i,CfC_fixed_head,3,126.03402445514502,123.91543571266686,2.4745449942071134,1.6809657167078313,1.9633944126633796,-1.303814819406234,330
K00i_future3,rich,K00i,CfC_time,3,126.03402445514502,126.72269988728812,2.9919383258856844,-0.5464202505000496,2.373913186395553,-1.4097636782565826,330
K00i_future3,rich,K00i,CfC_time_head,3,126.03402445514502,123.8115541426266,2.5885413921572766,1.7633891499746401,2.053843319966768,-1.3000418430079772,330
K00i_future3,rich,K00i,GRU,3,126.03402445514502,121.77725892858724,2.433778977694163,3.3774733013248586,1.9310491656642583,-1.2249969243486303,330
K00i_future3,rich,K00i,MLP,3,126.03402445514502,125.38716973971877,0.8673255763263583,0.5132381658227972,0.6881678023659634,-1.3580367721730446,330
K00i_future3,rich,K00i,Mean,1,126.03402445514502,126.5122072394389,0.0,-0.37940769277271524,0.0,-1.4004267659255922,330
K00i_future3,rich,K00i,Oracle_previous_GT,1,126.03402445514502,0.901566860582076,0.0,99.28466391160671,0.0,0.9998780955747449,330
K00i_future3,rich,K00i,Ridge,1,126.03402445514502,121.47420021581735,0.0,3.6179311571142403,0.0,-1.2130523723744169,330
K00i_future3,rich,K00i,Zero,1,126.03402445514502,126.03402445514502,0.0,0.0,0.0,-1.3823150990231525,330
K00i_global_diagnostic,motion,K00i,CfC_fixed,3,30.015467784486184,32.27388588297575,1.453390913728477,-7.524180914671116,4.842139806595578,-1.6173087729405007,393
K00i_global_diagnostic,motion,K00i,CfC_fixed_head,3,30.015467784486184,33.05223927382196,0.9690003175143717,-10.117355195461478,3.22833655124712,-1.7418739714816487,393
K00i_global_diagnostic,motion,K00i,CfC_time,3,30.015467784486184,32.2946158382746,1.4073996359064893,-7.59324515664026,4.6889145490310185,-1.6203353723163625,393
K00i_global_diagnostic,motion,K00i,CfC_time_head,3,30.015467784486184,33.10510406709934,0.9293447055765782,-10.293480364180978,3.0962192968284197,-1.7504555485286037,393
K00i_global_diagnostic,motion,K00i,GRU,3,30.015467784486184,34.12935212859745,0.8342601411414486,-13.705881159838448,2.779434080892928,-1.9227260072469905,393
K00i_global_diagnostic,motion,K00i,MLP,3,30.015467784486184,34.20345086507635,0.5736348174032685,-13.952749664473876,1.9111306927548801,-1.9345031923311342,393
K00i_global_diagnostic,motion,K00i,Mean,1,30.015467784486184,35.04325381485149,0.0,-16.750650252947153,0.0,-2.079508769967092,393
