model,test,runs,before_m,after_m,gain_mean,gain_std,coverage_mean,mean_gate
Zero,V103_future_nominal,1,1.5019634390862246,1.5019634390862246,0.0,0.0,0.0,0.0
Zero,V103_future_drop50,1,1.3876227890850479,1.3876227890850479,0.0,0.0,0.0,0.0
Zero,V202_independent_nominal,1,0.0156353838268325,0.0156353838268325,0.0,0.0,0.0,0.0
Zero,V202_independent_drop50,1,0.01551269967479711,0.01551269967479711,0.0,0.0,0.0,0.0
Always,V103_future_nominal,1,1.5019634390862246,1.0189393061869902,32.15951336292847,0.0,100.0,1.0
Always,V103_future_drop50,1,1.3876227890850479,0.9244884891866687,33.37609496913455,0.0,100.0,1.0
Always,V202_independent_nominal,1,0.0156353838268325,0.037917714341289,-142.51220667967814,0.0,100.0,1.0
Always,V202_independent_drop50,1,0.01551269967479711,0.04878281096009781,-214.4701565991984,0.0,100.0,1.0
Oracle_GT_only,V103_future_nominal,1,1.5019634390862246,0.9023849089854243,39.9196488075353,0.0,80.05181347150258,0.6696789342211429
Oracle_GT_only,V103_future_drop50,1,1.3876227890850479,0.8732616364152689,37.06779369117537,0.0,75.29411764705883,0.6520374422852994
Oracle_GT_only,V202_independent_nominal,1,0.0156353838268325,0.01361427665522244,12.926495402956206,0.0,53.29577464788733,0.13258236157142694
Oracle_GT_only,V202_independent_drop50,1,0.01551269967479711,0.013231218013453125,14.707186429004492,0.0,51.69300225733634,0.10580941591218801
Threshold,V103_future_nominal,1,1.5019634390862246,1.0197554376225548,32.10517572631721,0.0,77.46113989637306,0.7746113989637305
Threshold,V103_future_drop50,1,1.3876227890850479,0.9315679613458867,32.86590789128424,0.0,87.05882352941177,0.8705882352941177
Threshold,V202_independent_nominal,1,0.0156353838268325,0.018383661616061184,-17.577296596404967,0.0,6.873239436619719,0.06873239436619719
Threshold,V202_independent_drop50,1,0.01551269967479711,0.027807834835985316,-79.25851346921672,0.0,16.478555304740404,0.16478555304740405
MLP,V103_future_nominal,3,1.5019634390862246,1.1815019828352922,21.336168904743587,0.813324806219653,100.0,0.49606209993362427
MLP,V103_future_drop50,3,1.3876227890850479,1.1364615996288308,18.10010554970954,2.142841226393853,100.0,0.4920489887396495
MLP,V202_independent_nominal,3,0.0156353838268325,0.022689803702856084,-45.11830316514016,4.387259395208828,100.0,0.5081272820631663
MLP,V202_independent_drop50,3,0.01551269967479711,0.02753554122175909,-77.50321864668747,5.617375204903284,100.0,0.5117686688899994
MLP_conservative,V103_future_nominal,3,1.5019634390862246,1.1815019828352922,21.336168904743587,0.813324806219653,100.0,0.49606209993362427
MLP_conservative,V103_future_drop50,3,1.3876227890850479,1.1364615996288308,18.10010554970954,2.142841226393853,100.0,0.4920489887396495
