model,test,runs,before_m,after_m,gain_mean,gain_std,coverage_mean,mean_gate
CfC_fixed,V202_independent_drop50,3,0.029996313775657136,0.0321862849394683,-7.300800959044454,0.613867950786618,100.0,0.5385392506917318
CfC_fixed_conservative,V103_future_nominal,3,0.03756985933389569,0.03604368015122082,4.062243537063085,0.3174924187304498,100.0,0.543398916721344
CfC_fixed_conservative,V103_future_drop50,3,0.03214826518131095,0.03186896465764801,0.8687887887191584,0.4978608078472793,100.0,0.5441821217536926
CfC_fixed_conservative,V202_independent_nominal,3,0.03382825359692189,0.03442639136770972,-1.7681603606112632,0.4260686490365936,100.0,0.5398519237836202
CfC_fixed_conservative,V202_independent_drop50,3,0.029996313775657136,0.0321862849394683,-7.300800959044454,0.613867950786618,100.0,0.5385392506917318
CfC_time,V103_future_nominal,3,0.03756985933389569,0.03604229332028535,4.065934876237797,0.31934834508219706,100.0,0.5429943998654684
CfC_time,V103_future_drop50,3,0.03214826518131095,0.03187292655621832,0.8564649555419764,0.5635486469015496,100.0,0.5448883771896362
CfC_time,V202_independent_nominal,3,0.03382825359692189,0.03442647657850498,-1.7684122529976716,0.42624032830678166,100.0,0.5395164489746094
CfC_time,V202_independent_drop50,3,0.029996313775657136,0.03219951285530683,-7.344899430401523,0.5740263796883904,100.0,0.5397008657455444
CfC_time_conservative,V103_future_nominal,3,0.03756985933389569,0.03604229332028535,4.065934876237797,0.31934834508219706,100.0,0.5429943998654684
CfC_time_conservative,V103_future_drop50,3,0.03214826518131095,0.03187292655621832,0.8564649555419764,0.5635486469015496,100.0,0.5448883771896362
CfC_time_conservative,V202_independent_nominal,3,0.03382825359692189,0.03442647657850498,-1.7684122529976716,0.42624032830678166,100.0,0.5395164489746094
CfC_time_conservative,V202_independent_drop50,3,0.029996313775657136,0.03219951285530683,-7.344899430401523,0.5740263796883904,100.0,0.5397008657455444
