model,test,runs,before_m,after_m,gain_mean,gain_std
Zero,V103_future_nominal,1,1.5019634390862246,1.5019634390862246,0.0,0.0
Zero,V103_future_drop50,1,1.3876227890850479,1.3876227890850479,0.0,0.0
Zero,V202_independent_nominal,1,0.0156353838268325,0.0156353838268325,0.0,0.0
Zero,V202_independent_drop50,1,0.01551269967479711,0.01551269967479711,0.0,0.0
Physical,V103_future_nominal,1,1.5019634390862246,2.758790476824009,-83.67893685231257,0.0
Physical,V103_future_drop50,1,1.3876227890850479,1.8843726861689543,-35.798626326355354,0.0
Physical,V202_independent_nominal,1,0.0156353838268325,0.10120482064521552,-547.2806920897838,0.0
Physical,V202_independent_drop50,1,0.01551269967479711,0.12648358792030104,-715.3550998334229,0.0
Physical_shrunk,V103_future_nominal,1,1.5019634390862246,1.015474736598543,32.39018273198815,0.0
Physical_shrunk,V103_future_drop50,1,1.3876227890850479,0.9503300453204993,31.513805279378904,0.0
Physical_shrunk,V202_independent_nominal,1,0.0156353838268325,0.02818186206123752,-80.24413326440705,0.0
Physical_shrunk,V202_independent_drop50,1,0.01551269967479711,0.03414779527793597,-120.12799830976282,0.0
Physical_Ridge_residual,V103_future_nominal,1,1.5019634390862246,0.9810402314831776,34.68281544322876,0.0
Physical_Ridge_residual,V103_future_drop50,1,1.3876227890850479,0.9064643528311555,34.67501687336457,0.0
Physical_Ridge_residual,V202_independent_nominal,1,0.0156353838268325,0.04271500860621633,-173.19449959975665,0.0
Physical_Ridge_residual,V202_independent_drop50,1,0.01551269967479711,0.06377920948901115,-311.1419084108925,0.0
CfC_direct,V103_future_nominal,3,1.5019634390862246,1.08941640437131,27.4671822215528,5.234444205347319
CfC_direct,V103_future_drop50,3,1.3876227890850479,1.0577383007888155,23.773354753978012,9.022367191361433
CfC_direct,V202_independent_nominal,3,0.0156353838268325,0.06733456003528406,-330.65498603065026,55.80821232486051
CfC_direct,V202_independent_drop50,3,0.01551269967479711,0.07648835364428523,-393.06926097817086,72.62445376686969
CfC_direct_gated,V103_future_nominal,3,1.5019634390862246,1.08941640437131,27.4671822215528,5.234444205347319
CfC_direct_gated,V103_future_drop50,3,1.3876227890850479,1.0577383007888155,23.773354753978012,9.022367191361433
CfC_direct_gated,V202_independent_nominal,3,0.0156353838268325,0.06733456003528406,-330.65498603065026,55.80821232486051
CfC_direct_gated,V202_independent_drop50,3,0.01551269967479711,0.07648835364428523,-393.06926097817086,72.62445376686969
CfC_time_residual,V103_future_nominal,3,1.5019634390862246,1.0215136559960805,31.988114396608992,5.296405397653751
CfC_time_residual,V103_future_drop50,3,1.3876227890850479,0.9430513325175197,32.0383507725946,2.8099232793359357
CfC_time_residual,V202_independent_nominal,3,0.0156353838268325,0.06993968926919959,-347.31674031035504,43.71502108927893
CfC_time_residual,V202_independent_drop50,3,0.01551269967479711,0.0818031101441511,-427.3299416545367,62.35901174577311
CfC_time_residual_gated,V103_future_nominal,3,1.5019634390862246,1.0154574920681216,32.391330864490754,5.317539144413155
CfC_time_residual_gated,V103_future_drop50,3,1.3876227890850479,0.9359193593565834,32.5523213715957,2.193992473236144
CfC_time_residual_gated,V202_independent_nominal,3,0.0156353838268325,0.06539212318507315,-318.23164630503754,79.59413641442059
CfC_time_residual_gated,V202_independent_drop50,3,0.01551269967479711,0.07675486684900683,-394.78729336652805,97.62171622460525
CfC_fixed_residual,V103_future_nominal,3,1.5019634390862246,0.9881300544004302,34.21077845932149,1.603243981753474
CfC_fixed_residual,V103_future_drop50,3,1.3876227890850479,0.929293374944224,33.02982754002122,1.6171359820288829
CfC_fixed_residual,V202_independent_nominal,3,0.0156353838268325,0.07063139010950058,-351.74068568938657,29.888643547762555
CfC_fixed_residual,V202_independent_drop50,3,0.01551269967479711,0.08261223584552256,-432.5458339127103,52.674624502097636
CfC_fixed_residual_gated,V103_future_nominal,3,1.5019634390862246,0.9777955612443016,34.89884401985312,1.4951946109194312
CfC_fixed_residual_gated,V103_future_drop50,3,1.3876227890850479,0.9251560765700108,33.32798482071429,1.2939235036873142
CfC_fixed_residual_gated,V202_independent_nominal,3,0.0156353838268325,0.05531707644201839,-253.79417003557384,22.04634524810332
CfC_fixed_residual_gated,V202_independent_drop50,3,0.01551269967479711,0.06562909040783396,-323.0668535049321,38.02406127025787
GRU_residual,V103_future_nominal,3,1.5019634390862246,0.9887198840204668,34.17150788823519,3.0587834833534306
GRU_residual,V103_future_drop50,3,1.3876227890850479,0.9523408471088689,31.36889545199739,3.324401597519914
GRU_residual,V202_independent_nominal,3,0.0156353838268325,0.08417334936301589,-438.35166629272425,83.39716157317797
GRU_residual,V202_independent_drop50,3,0.01551269967479711,0.07682260100635631,-395.2239301787494,42.31134039459679
GRU_residual_gated,V103_future_nominal,3,1.5019634390862246,0.9809747073298992,34.68717800969166,3.7726024769182738
GRU_residual_gated,V103_future_drop50,3,1.3876227890850479,0.9438118847939084,31.983541044592787,3.0570855259681715
GRU_residual_gated,V202_independent_nominal,3,0.0156353838268325,0.0792111367674108,-406.6145970236653,125.02847754526582
GRU_residual_gated,V202_independent_drop50,3,0.01551269967479711,0.0720699209706498,-364.5865805533453,82.43659268981877
