case,sequence,condition,model,runs,n,before_m,after_m_mean,gain_pct_mean,gain_pct_std,r2_mean
cross_sequence,V103,nominal,Zero,1,1441,1.5456363468339769,1.5456363468339769,0.0,0.0,-0.0006034173947591093
cross_sequence,V103,drop25,Zero,1,1070,1.5773261554083033,1.5773261554083033,0.0,0.0,-0.0012074392618870444
cross_sequence,V103,drop50,Zero,1,694,1.5699103046353353,1.5699103046353353,0.0,0.0,-0.0007774621736695853
cross_sequence,V202,nominal,Zero,1,1795,0.015648287035141577,0.015648287035141577,0.0,0.0,-0.003327374662930982
cross_sequence,V202,drop25,Zero,1,1342,0.015604578756126015,0.015604578756126015,0.0,0.0,-0.0051480153390199845
cross_sequence,V202,drop50,Zero,1,869,0.014595693825546548,0.014595693825546548,0.0,0.0,-0.0009136091113721712
cross_sequence,V103,nominal,Mean,1,1441,1.5456363468339769,1.5456657271168768,-0.0019008535196540777,0.0,-0.0006414577668560906
cross_sequence,V103,drop25,Mean,1,1070,1.5773261554083033,1.577473007664138,-0.009310202289558589,0.0,-0.0013938768162060633
cross_sequence,V103,drop50,Mean,1,694,1.5699103046353353,1.5701093526204137,-0.012678939968147063,0.0,-0.001031254209007182
cross_sequence,V202,nominal,Mean,1,1795,0.015648287035141577,0.016809590244926752,-7.421280087572657,0.0,-0.15777270946323352
cross_sequence,V202,drop25,Mean,1,1342,0.015604578756126015,0.016760696430799568,-7.408836167523503,0.0,-0.1596048979654101
cross_sequence,V202,drop50,Mean,1,869,0.014595693825546548,0.0160694044095963,-10.096886120414128,0.0,-0.2132398485764342
cross_sequence,V103,nominal,Ridge,1,1441,1.5456363468339769,1.5143454048328568,2.024469860922673,0.0,0.03950031669919596
cross_sequence,V103,drop25,Ridge,1,1070,1.5773261554083033,1.5523767201322196,1.581754996614848,0.0,0.030215361150061293
cross_sequence,V103,drop50,Ridge,1,694,1.5699103046353353,1.555994644989613,0.8863983887891447,0.0,0.016885657130743637
cross_sequence,V202,nominal,Ridge,1,1795,0.015648287035141577,0.02470416603746753,-57.87137583806481,0.0,-1.5006300703211908
cross_sequence,V202,drop25,Ridge,1,1342,0.015604578756126015,0.02634447737309172,-68.82530303965721,0.0,-1.8648711591832807
cross_sequence,V202,drop50,Ridge,1,869,0.014595693825546548,0.02909459945493499,-99.33687156420959,0.0,-2.9771490795138558
cross_sequence,V103,nominal,MLP,3,1441,1.5456363468339769,1.5456570215750212,-0.0013376200091600825,0.04623385980815549,-0.0006304000028004945
cross_sequence,V103,drop25,MLP,3,1070,1.5773261554083033,1.5773953823126066,-0.004388876965351803,0.05438693933846651,-0.0012956208668610063
cross_sequence,V103,drop50,MLP,3,694,1.5699103046353353,1.569860415949086,0.003177804878521743,0.07894094453045666,-0.000714481326028323
cross_sequence,V202,nominal,MLP,3,1795,0.015648287035141577,0.017306523815703048,-10.596922058226207,1.1850914600742462,-0.22737876629772705
cross_sequence,V202,drop25,MLP,3,1342,0.015604578756126015,0.01757516866647459,-12.628280078210805,1.6227491738331594,-0.2753079585708868
cross_sequence,V202,drop50,MLP,3,869,0.014595693825546548,0.017975660024743403,-23.157283508379503,3.020551135629023,-0.5190705909824311
cross_sequence,V103,nominal,GRU,3,1441,1.5456363468339769,1.5460435670267252,-0.026346442588683534,0.012759930233555051,-0.0011307499513631598
cross_sequence,V103,drop25,GRU,3,1070,1.5773261554083033,1.5779210791648397,-0.037717231436025976,0.009041938165663075,-0.001962845332188934
cross_sequence,V103,drop50,GRU,3,694,1.5699103046353353,1.570578772151298,-0.042579981416087286,0.012565115697730861,-0.0016299211354173782
cross_sequence,V202,nominal,GRU,3,1795,0.015648287035141577,0.018535317122869946,-18.449495981540508,3.4207406841294707,-0.4088707508768246
cross_sequence,V202,drop25,GRU,3,1342,0.015604578756126015,0.018894764546431797,-21.084745969282412,3.9701908533293504,-0.47528369747638965
cross_sequence,V202,drop50,GRU,3,869,0.014595693825546548,0.018795441128187595,-28.77387915119399,4.930130963385368,-0.6622190466050579
cross_sequence,V103,nominal,CfC_fixed_head,3,1441,1.5456363468339769,1.5456790363690562,-0.00276193913056888,0.012790324729426488,-0.0006587066418159241
cross_sequence,V103,drop25,CfC_fixed_head,3,1070,1.5773261554083033,1.5774405057648966,-0.00724963294376213,0.011073477370281472,-0.0013526245296506811
cross_sequence,V103,drop50,CfC_fixed_head,3,694,1.5699103046353353,1.5700363062014588,-0.008026035993990988,0.008947271651898767,-0.000938122150661617
cross_sequence,V202,nominal,CfC_fixed_head,3,1795,0.015648287035141577,0.017552806577128013,-12.170786091215144,4.258783579455644,-0.26423488164328957
cross_sequence,V202,drop25,CfC_fixed_head,3,1342,0.015604578756126015,0.017499730759421486,-12.144845643792044,4.261743099334326,-0.26594662012685927
cross_sequence,V202,drop50,CfC_fixed_head,3,869,0.014595693825546548,0.0167907446873783,-15.039030607711153,4.045469685879055,-0.32624500235031
cross_sequence,V103,nominal,CfC_time_head,3,1441,1.5456363468339769,1.5456664799291404,-0.0019495591718765581,0.012474897175356018,-0.0006424480581588288
cross_sequence,V103,drop25,CfC_time_head,3,1070,1.5773261554083033,1.5774502171328342,-0.007865318412773417,0.010898700961571365,-0.0013649536543307583
cross_sequence,V103,drop50,CfC_time_head,3,694,1.5699103046353353,1.5700708166783448,-0.010224281128386655,0.011867200810798473,-0.0009821313317883718
cross_sequence,V202,nominal,CfC_time_head,3,1795,0.015648287035141577,0.017503855319086468,-11.85796426009962,4.040926975496362,-0.2570220383365482
cross_sequence,V202,drop25,CfC_time_head,3,1342,0.015604578756126015,0.017497657619182042,-12.131560182698601,4.20601521817224,-0.2655996927171329
cross_sequence,V202,drop50,CfC_time_head,3,869,0.014595693825546548,0.016882323902115432,-15.66647056247948,4.281248493072244,-0.3409301178493331
same_sequence_future,V103,nominal,Zero,1,268,1.2771386185040177,1.2771386185040177,0.0,0.0,-0.010029186281220737
same_sequence_future,V103,drop25,Zero,1,194,1.2656376121041237,1.2656376121041237,0.0,0.0,-0.01598445995074327
same_sequence_future,V103,drop50,Zero,1,119,1.1401495795862606,1.1401495795862606,0.0,0.0,-0.012808611091502886
same_sequence_future,V103,nominal,Mean,1,268,1.2771386185040177,1.2768675969209344,0.021220999753390757,0.0,-0.009600555183689075
same_sequence_future,V103,drop25,Mean,1,194,1.2656376121041237,1.2642598218069525,0.10886135841685629,0.0,-0.013773635004322493
